uid,ELECYEAR,ID,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,prim1,prim2,prim3,camp1,camp2,camp3,coal_lib,coal_dem,coal_kmei,coal_com,coal_soc,coal_koku,yn_medconst,yn_reps,yn_const,yn_defense,yn_preemp,yn_unsc,yn_nkorea,yn_smgov,yn_pubspend,yn_fiscalpol,yn_tax5yrs,yn_frgnvote,yn_frgnwork,yn_privacy,yn_tax10pc,yn_moral,ab_asiaus,ab_compet,ab_env,ab_singlemum,ab_trade,fav_masuzoe,fav_ozawa,fav_watanabe,fav_hashimoto,media_hp,media_sns,media_tv
1657.28.0,2009,847,渡海＝紀三朗,1,28.0,10.0,58.0,3,6,1,1,60.0,4,,,,1.0,3.0,5.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,,,,,2.0,3.0,3.0,,,,,,,
990.28.0,2009,848,岡田＝康裕,1,28.0,10.0,58.0,1,0,2,1,33.0,1,,,,5.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,5.0,3.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,,,,1.0,3.0,3.0,25.0,50.0,50.0,80.0,,,
813.28.0,2009,849,小村＝直弘,1,28.0,10.0,,1,0,11,1,45.0,4,,,,1.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,,,,,3.0,3.0,4.0,40.0,10.0,80.0,90.0,,,
1122.28.0,2009,850,戸井田＝徹,1,28.0,11.0,58.0,3,2,1,1,57.0,4,,,,1.0,3.0,5.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,5.0,3.0,3.0,,,,,3.0,3.0,3.0,,,,,,,
1302.28.0,2009,851,松本＝剛明,1,28.0,11.0,58.0,3,3,2,1,49.0,1,,,,3.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,,,,,3.0,3.0,4.0,10.0,80.0,50.0,50.0,,,
1069.28.0,2009,852,帽田＝智子,1,28.0,11.0,,1,0,11,2,40.0,4,,,,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,1.0,2.0,,,,,4.0,1.0,4.0,25.0,0.0,25.0,75.0,,,
1577.28.0,2009,853,河本＝三郎,1,28.0,12.0,58.0,3,3,1,1,58.0,4,,,,1.0,,,4.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,5.0,3.0,3.0,3.0,,,,,3.0,3.0,1.0,,,,,,,
908.28.0,2009,854,山口＝壮,1,28.0,12.0,58.0,3,2,2,1,54.0,1,,,,1.0,3.0,4.0,,4.0,,,2.0,1.0,5.0,3.0,5.0,5.0,4.0,1.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,,,,,2.0,1.0,3.0,,100.0,,0.0,,,
958.28.0,2009,855,山田＝徳太郎,1,28.0,12.0,,1,0,11,1,32.0,4,,,,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,2.0,,,,,2.0,3.0,5.0,55.0,15.0,50.0,65.0,,,
2453.29.0,2009,856,馬淵＝澄夫,1,29.0,1.0,58.0,3,2,2,1,48.0,1,,,,1.0,5.0,3.0,,,,,,,5.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,2.0,,,,,2.0,2.0,3.0,,,,,,,
1407.29.0,2009,857,森岡＝正宏,1,29.0,1.0,58.0,2,2,1,1,65.0,4,,,,3.0,2.0,5.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,5.0,5.0,2.0,,,,,2.0,1.0,2.0,90.0,0.0,25.0,85.0,,,
210.29.0,2009,858,井上＝良子,1,29.0,1.0,,1,0,4,2,45.0,4,,,,1.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,5.0,1.0,2.0,5.0,,,,,3.0,4.0,1.0,0.0,0.0,0.0,0.0,,,
1374.29.0,2009,859,栗岡＝真由美,1,29.0,1.0,,1,0,11,2,49.0,4,,,,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,,1.0,1.0,2.0,,5.0,1.0,1.0,3.0,,,,,3.0,3.0,5.0,50.0,0.0,50.0,75.0,,,
2466.29.0,2009,860,高市＝早苗,1,29.0,2.0,58.0,3,4,1,2,47.0,3,,,,5.0,3.0,1.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,4.0,2.0,,,,,3.0,3.0,1.0,,,,,,,
1695.29.0,2009,861,滝＝実,1,29.0,2.0,58.0,3,4,2,1,70.0,1,,,,1.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,4.0,5.0,2.0,2.0,4.0,,,,,3.0,2.0,2.0,25.0,100.0,75.0,50.0,,,
2182.29.0,2009,862,西＝ふみ子,1,29.0,2.0,,1,0,4,2,73.0,4,,,,1.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,2.0,2.0,5.0,1.0,2.0,5.0,,,,,3.0,5.0,2.0,0.0,0.0,0.0,0.0,,,
1753.29.0,2009,863,田中＝孝子,1,29.0,2.0,,1,0,11,2,54.0,4,,,,1.0,3.0,4.0,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,,,,,,3.0,1.0,5.0,0.0,0.0,0.0,75.0,,,
693.29.0,2009,864,奥野＝信亮,1,29.0,3.0,58.0,3,2,1,1,64.0,4,,,,3.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,5.0,2.0,2.0,,,,,2.0,2.0,2.0,,,,,,,
477.29.0,2009,865,吉川＝政重,1,29.0,3.0,58.0,1,0,2,1,45.0,1,,,,1.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,3.0,,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,,,,,2.0,4.0,3.0,30.0,70.0,50.0,50.0,,,
2215.29.0,2009,866,豆田＝至功,1,29.0,3.0,58.0,1,0,4,1,55.0,4,,,,1.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,5.0,1.0,2.0,5.0,,,,,3.0,5.0,1.0,0.0,0.0,0.0,0.0,,,
874.29.0,2009,867,尾崎＝貴教,1,29.0,3.0,,1,0,11,1,27.0,4,,,,1.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,3.0,,,,,5.0,2.0,5.0,60.0,25.0,50.0,75.0,,,
1789.29.0,2009,868,田野瀬＝良太郎,1,29.0,4.0,58.0,3,5,1,1,65.0,1,,,,1.0,2.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,3.0,,,,,1.0,2.0,3.0,50.0,50.0,50.0,50.0,,,
659.29.0,2009,869,大西＝孝典,1,29.0,4.0,58.0,1,0,2,1,52.0,3,,,,3.0,1.0,5.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,4.0,5.0,2.0,2.0,4.0,,,,,3.0,2.0,2.0,30.0,90.0,50.0,70.0,,,
2229.29.0,2009,870,赤松＝明宏,1,29.0,4.0,,1,0,11,1,52.0,4,,,,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,2.0,1.0,4.0,,,,,5.0,1.0,5.0,0.0,0.0,50.0,75.0,,,
2207.30.0,2009,871,谷本＝龍哉,1,30.0,1.0,58.0,3,3,1,1,42.0,4,,,,5.0,3.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,5.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,,,,,2.0,4.0,2.0,70.0,0.0,80.0,30.0,,,
1010.30.0,2009,872,岸本＝周平,1,30.0,1.0,58.0,1,0,2,1,52.0,1,,,,3.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,2.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,,,,,3.0,4.0,4.0,,,,,,,
544.30.0,2009,873,国重＝秀明,1,30.0,1.0,58.0,1,0,4,1,48.0,4,,,,1.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,1.0,2.0,5.0,1.0,2.0,5.0,1.0,2.0,5.0,,,,,2.0,4.0,1.0,,,,,,,
1139.30.0,2009,874,斉藤＝昌宏,1,30.0,1.0,,1,0,11,1,57.0,4,,,,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,,,,,3.0,3.0,5.0,30.0,0.0,50.0,50.0,,,
1897.30.0,2009,875,石田＝真敏,1,30.0,2.0,58.0,3,3,1,1,56.0,3,,,,3.0,1.0,2.0,4.0,,1.0,,,,2.0,1.0,1.0,3.0,,1.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,,,,,2.0,2.0,3.0,,,,,,,
2407.30.0,2009,876,阪口＝直人,1,30.0,2.0,58.0,1,0,2,1,45.0,1,,,,5.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,,,,,2.0,3.0,4.0,0.0,100.0,70.0,70.0,,,
179.30.0,2009,877,久保＝美也子,1,30.0,2.0,,1,0,11,2,48.0,4,,,,3.0,4.0,,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,3.0,5.0,3.0,1.0,3.0,,,,,3.0,2.0,5.0,70.0,0.0,70.0,80.0,,,
192.30.0,2009,878,二階＝俊博,1,30.0,3.0,58.0,3,8,1,1,69.0,1,,,,1.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,3.0,2.0,3.0,,,,,,,
1739.30.0,2009,879,玉置＝公良,1,30.0,3.0,58.0,1,0,2,1,54.0,3,,,,5.0,3.0,1.0,,4.0,,,,,4.0,5.0,3.0,5.0,3.0,1.0,2.0,4.0,2.0,2.0,5.0,1.0,4.0,4.0,,,,,3.0,5.0,2.0,,100.0,,,,,
1686.30.0,2009,880,湊＝侑子,1,30.0,3.0,,1,0,11,2,26.0,4,,,,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,3.0,,,,,4.0,4.0,5.0,40.0,0.0,50.0,80.0,,,
1902.31.0,2009,881,石破＝茂,1,31.0,1.0,59.0,3,7,1,1,51.0,1,,,,1.0,5.0,2.0,4.0,,,3.0,3.0,,4.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,2.0,,,,,2.0,4.0,4.0,,,,,,,
690.31.0,2009,882,奥田＝保明,1,31.0,1.0,59.0,1,0,2,1,49.0,4,,,,3.0,1.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,,,,,3.0,2.0,3.0,50.0,75.0,75.0,50.0,,,
1003.31.0,2009,883,岩永＝尚之,1,31.0,1.0,59.0,1,0,4,1,52.0,4,,,,3.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,1.0,5.0,,,,,1.0,5.0,1.0,50.0,50.0,50.0,40.0,,,
2019.31.0,2009,884,細川＝幸宏,1,31.0,1.0,,1,0,11,1,40.0,4,,,,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,3.0,,,,,3.0,1.0,3.0,0.0,0.0,0.0,0.0,,,
2234.31.0,2009,885,赤沢＝亮正,1,31.0,2.0,59.0,3,1,1,1,48.0,1,,,,1.0,5.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,2.0,,,,,2.0,2.0,3.0,90.0,25.0,50.0,50.0,,,
1687.31.0,2009,886,湯原＝俊二,1,31.0,2.0,59.0,1,0,2,1,46.0,3,,,,,,,3.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,,,,,1.0,4.0,3.0,10.0,90.0,60.0,30.0,,,
1790.31.0,2009,887,甲谷＝英生,1,31.0,2.0,,1,0,11,1,33.0,4,,,,5.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,2.0,1.0,2.0,,,,,3.0,2.0,4.0,50.0,0.0,50.0,50.0,,,
2022.32.0,2009,888,細田＝博之,1,32.0,1.0,59.0,3,6,1,1,64.0,1,,,,3.0,2.0,5.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,2.0,3.0,3.0,,,,,,,
792.32.0,2009,889,小室＝寿明,1,32.0,1.0,59.0,1,0,2,1,48.0,3,,,,1.0,3.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,4.0,,,,,1.0,4.0,2.0,20.0,80.0,30.0,30.0,,,
1905.32.0,2009,890,石飛＝育久,1,32.0,1.0,59.0,1,0,4,1,30.0,4,,,,2.0,5.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,1.0,3.0,5.0,,,,,3.0,5.0,2.0,0.0,10.0,10.0,10.0,,,
1550.32.0,2009,891,池田＝健一郎,1,32.0,1.0,,1,0,11,1,29.0,4,,,,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,,,,,4.0,1.0,5.0,50.0,5.0,55.0,80.0,,,
1970.32.0,2009,892,竹下＝亘,1,32.0,2.0,59.0,3,3,1,1,62.0,1,,,,3.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,,,,,3.0,4.0,3.0,,,,,,,
185.32.0,2009,893,亀井＝久興,1,32.0,2.0,59.0,3,5,6,1,69.0,4,,,,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,1.0,5.0,4.0,3.0,3.0,,,,,2.0,2.0,3.0,10.0,70.0,25.0,50.0,,,
1824.32.0,2009,894,相浦＝慎治,1,32.0,2.0,,1,0,11,1,41.0,4,,,,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,1.0,2.0,,,,,3.0,2.0,4.0,,10.0,,55.0,,,
2269.33.0,2009,895,逢沢＝一郎,1,33.0,1.0,59.0,3,7,1,1,54.0,1,,,,1.0,3.0,5.0,4.0,3.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,,1.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,
2461.33.0,2009,896,高井＝崇志,1,33.0,1.0,59.0,1,0,2,1,39.0,3,,,,5.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,,,,,1.0,4.0,3.0,10.0,80.0,70.0,60.0,,,
1275.33.0,2009,897,東＝毅,1,33.0,1.0,59.0,1,0,4,1,32.0,4,,,,2.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,2.0,5.0,1.0,2.0,5.0,,,,,1.0,5.0,1.0,0.0,0.0,0.0,0.0,,,
709.33.0,2009,898,安原＝園枝,1,33.0,1.0,,1,0,11,2,47.0,4,,,,4.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,5.0,5.0,1.0,3.0,,,,,3.0,2.0,4.0,50.0,10.0,80.0,70.0,,,
2086.33.0,2009,899,萩原＝誠司,1,33.0,2.0,59.0,3,1,1,1,52.0,4,,,,1.0,5.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,3.0,2.0,2.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,,,,,3.0,2.0,3.0,52.0,39.0,50.0,50.0,,,
1604.33.0,2009,900,津村＝啓介,1,33.0,2.0,59.0,3,2,2,1,37.0,1,,,,3.0,1.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,,,,,1.0,5.0,5.0,0.0,100.0,50.0,50.0,,,
2227.33.0,2009,901,赤松＝和隆,1,33.0,2.0,59.0,1,0,6,1,41.0,4,,,,1.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,,,,,5.0,5.0,3.0,0.0,0.0,0.0,0.0,,,
1127.33.0,2009,902,戸板＝道広,1,33.0,2.0,,1,0,11,1,49.0,4,,,,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,,,,,4.0,1.0,5.0,75.0,0.0,75.0,50.0,,,
1710.33.0,2009,903,熊代＝昭彦,1,33.0,2.0,,2,4,12,1,68.0,4,,,,1.0,5.0,2.0,2.0,2.0,,,,2.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,,,,,2.0,2.0,4.0,50.0,25.0,75.0,75.0,,,
2412.33.0,2009,904,阿部＝俊子,1,33.0,3.0,59.0,3,1,1,2,49.0,3,,,,5.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,,,,,3.0,4.0,2.0,,,,,,,
2160.33.0,2009,905,西村＝啓聡,1,33.0,3.0,59.0,1,0,2,1,33.0,4,,,,3.0,4.0,,3.0,4.0,3.0,3.0,2.0,2.0,5.0,4.0,2.0,5.0,3.0,1.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,4.0,,,,,2.0,4.0,2.0,25.0,90.0,0.0,40.0,,,
1555.33.0,2009,906,池田＝恭一郎,1,33.0,3.0,,1,0,11,1,39.0,4,,,,1.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,2.0,,,,,3.0,3.0,5.0,50.0,10.0,60.0,60.0,,,
1079.33.0,2009,907,平沼＝赳夫,1,33.0,3.0,,3,9,12,1,69.0,1,,,,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,4.0,5.0,3.0,3.0,,,,,3.0,2.0,2.0,15.0,30.0,50.0,50.0,,,
1476.33.0,2009,908,橋本＝岳,1,33.0,4.0,59.0,3,1,1,1,34.0,4,,,,5.0,3.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,5.0,4.0,3.0,,,,,2.0,3.0,3.0,,,,,,,
1353.33.0,2009,909,柚木＝道義,1,33.0,4.0,59.0,3,1,2,1,36.0,1,,,,5.0,1.0,3.0,3.0,4.0,,3.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,,,,,2.0,4.0,4.0,0.0,100.0,50.0,50.0,,,
798.33.0,2009,910,小岩井＝実由香,1,33.0,4.0,,1,0,11,2,46.0,4,,,,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,,,,,3.0,1.0,5.0,40.0,0.0,40.0,50.0,,,
385.33.0,2009,911,加藤＝勝信,1,33.0,5.0,59.0,3,2,1,1,53.0,1,,,,1.0,3.0,5.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,5.0,2.0,1.0,3.0,4.0,3.0,2.0,,,,,2.0,3.0,3.0,,,,,,,
2044.33.0,2009,912,花咲＝宏基,1,33.0,5.0,59.0,1,0,2,1,42.0,3,,,,2.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,,,,,2.0,2.0,3.0,50.0,70.0,50.0,50.0,,,
335.33.0,2009,913,佐藤＝雅章,1,33.0,5.0,,1,0,11,1,58.0,4,,,,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,3.0,,,,,1.0,1.0,2.0,75.0,0.0,50.0,50.0,,,
1013.34.0,2009,914,岸田＝文雄,1,34.0,1.0,59.0,3,5,1,1,51.0,1,,,,5.0,1.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,,,,,2.0,3.0,2.0,70.0,30.0,60.0,60.0,,,
2073.34.0,2009,915,菅川＝洋,1,34.0,1.0,59.0,1,0,2,1,40.0,3,,,,,,,3.0,4.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,3.0,5.0,5.0,2.0,5.0,1.0,1.0,3.0,,,,,1.0,5.0,2.0,50.0,90.0,70.0,80.0,,,
2125.34.0,2009,916,藤本＝聡志,1,34.0,1.0,59.0,1,0,4,1,54.0,4,,,,2.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,5.0,,,,,2.0,4.0,2.0,0.0,20.0,0.0,0.0,,,
51.34.0,2009,917,上村＝好輝,1,34.0,1.0,59.0,1,0,5,1,48.0,4,,,,5.0,,,3.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,3.0,5.0,5.0,,,,,1.0,4.0,2.0,,,,,,,
943.34.0,2009,918,山本＝浩徳,1,34.0,1.0,,1,0,11,1,47.0,4,,,,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,4.0,2.0,2.0,,,,,4.0,2.0,5.0,25.0,0.0,30.0,50.0,,,
128.34.0,2009,919,中村＝文則,1,34.0,1.0,,1,0,12,1,56.0,4,,,,5.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,5.0,5.0,4.0,5.0,1.0,2.0,4.0,3.0,2.0,5.0,1.0,3.0,5.0,,,,,1.0,4.0,3.0,60.0,50.0,70.0,70.0,,,
1071.34.0,2009,920,平口＝洋,1,34.0,2.0,59.0,3,1,1,1,60.0,4,,,,1.0,5.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,5.0,3.0,2.0,3.0,,,,,3.0,4.0,2.0,70.0,20.0,30.0,60.0,,,
1306.34.0,2009,921,松本＝大輔,1,34.0,2.0,59.0,3,2,2,1,37.0,1,,,,3.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,,,,,3.0,5.0,3.0,,,,,,,
730.34.0,2009,922,宮内＝香織,1,34.0,2.0,,1,0,11,2,45.0,4,,,,4.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,1.0,3.0,,,,,3.0,2.0,4.0,50.0,0.0,65.0,70.0,,,
606.34.0,2009,923,増原＝義剛,1,34.0,3.0,59.0,3,3,1,1,63.0,4,,,,1.0,3.0,5.0,4.0,,1.0,,,,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,,,,,2.0,4.0,5.0,50.0,40.0,50.0,40.0,,,
1474.34.0,2009,924,橋本＝博明,1,34.0,3.0,59.0,1,0,2,1,38.0,1,,,,1.0,4.0,5.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,3.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,,,,,2.0,4.0,3.0,25.0,100.0,50.0,50.0,,,
1172.34.0,2009,925,日高＝順子,1,34.0,3.0,,1,0,11,2,46.0,4,,,,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,,,,,4.0,2.0,5.0,30.0,10.0,75.0,75.0,,,
