uid,ELECYEAR,ID,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,prim1,prim2,prim3,camp1,camp2,camp3,coal_lib,coal_dem,coal_kmei,coal_com,coal_soc,coal_koku,yn_medconst,yn_reps,yn_const,yn_defense,yn_preemp,yn_unsc,yn_nkorea,yn_smgov,yn_pubspend,yn_fiscalpol,yn_tax5yrs,yn_frgnvote,yn_frgnwork,yn_privacy,yn_tax10pc,yn_moral,ab_asiaus,ab_compet,ab_env,ab_singlemum,ab_trade,fav_masuzoe,fav_ozawa,fav_watanabe,fav_hashimoto,media_hp,media_sns,media_tv
818.1.0,2009,17,小林＝千代美,1,1.0,5.0,51.0,2,1,2,2,40.0,1,,,,1.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,5.0,1.0,3.0,5.0,,,,,1.0,5.0,2.0,0.0,90.0,50.0,50.0,,,
1798.1.0,2009,18,畑野＝泰紀,1,1.0,5.0,,1,0,11,1,42.0,4,,,,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,2.0,1.0,3.0,,,,,2.0,4.0,5.0,40.0,0.0,40.0,50.0,,,
246.1.0,2009,19,今津＝寛,1,1.0,6.0,51.0,3,4,1,1,62.0,4,,,,1.0,2.0,5.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,,,,,2.0,3.0,2.0,80.0,0.0,50.0,50.0,,,
297.1.0,2009,20,佐々木＝隆博,1,1.0,6.0,51.0,3,1,2,1,59.0,1,,,,3.0,,,3.0,4.0,3.0,3.0,1.0,1.0,5.0,3.0,5.0,3.0,5.0,2.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,,,,,2.0,4.0,2.0,25.0,90.0,60.0,60.0,,,
2067.1.0,2009,21,荻生＝和敏,1,1.0,6.0,51.0,1,0,4,1,59.0,4,,,,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,5.0,1.0,4.0,5.0,,,,,3.0,4.0,2.0,10.0,25.0,10.0,10.0,,,
1496.1.0,2009,22,武田＝慎一,1,1.0,6.0,,1,0,11,1,42.0,4,,,,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,,,,,5.0,2.0,5.0,50.0,0.0,60.0,60.0,,,
263.1.0,2009,23,伊東＝良孝,1,1.0,7.0,51.0,1,0,1,1,60.0,1,,,,1.0,5.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,,,,,2.0,3.0,2.0,80.0,30.0,60.0,60.0,,,
255.1.0,2009,24,仲野＝博子,1,1.0,7.0,51.0,3,2,2,2,49.0,3,,,,3.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,5.0,1.0,4.0,5.0,,,,,3.0,5.0,1.0,0.0,100.0,50.0,50.0,,,
2336.1.0,2009,25,金成＝幸子,1,1.0,7.0,,1,0,11,2,50.0,4,,,,1.0,,,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,3.0,,,,,4.0,2.0,4.0,25.0,0.0,50.0,50.0,,,
1935.1.0,2009,26,福島＝啓史郎,1,1.0,8.0,51.0,1,0,1,1,62.0,4,,,,5.0,3.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,5.0,5.0,2.0,3.0,,,,,3.0,3.0,2.0,50.0,0.0,0.0,0.0,,,
2268.1.0,2009,27,逢坂＝誠二,1,1.0,8.0,51.0,3,1,2,1,49.0,1,,,,3.0,4.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,,,,,2.0,5.0,2.0,50.0,100.0,80.0,80.0,,,
2179.1.0,2009,28,西野＝晃,1,1.0,8.0,,1,0,11,1,32.0,4,,,,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,1.0,5.0,,,,,4.0,3.0,4.0,40.0,40.0,50.0,50.0,,,
312.1.0,2009,29,佐藤＝健治,1,1.0,8.0,,1,0,12,1,51.0,4,,,,5.0,,,,,,,,,,,,,,1.0,1.0,5.0,,1.0,,,,,,,,,,,,,,,,,,
